S. No.,GADE(Generalized Anxiety disorder),Percentage(RESULT),SWL(Satisfaction of work life),Game,Platform,Hours,earnings,whyplay,Gender,Age,Work,Degree,Birthplace,Residence
10307,NA,0,4,League of Legends,PC,2,I play for fun,relaxing,Male,19,Employed,Master (or equivalent),South Korea,USA
10309,Not difficult at all,1-25%,1,League of Legends,PC,70,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),UK,UK
10310,Not difficult at all,1-25%,3,League of Legends,"Console (PS, Xbox, ...)",25,I play for fun,winning,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
10311,Somewhat difficult,26-50%,1,Other,"Console (PS, Xbox, ...)",15,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
10312,Somewhat difficult,26-50%,4,League of Legends,PC,20,I play for fun,improving,Male,19,Employed,High school diploma (or equivalent),USA,USA
10313,Not difficult at all,1-25%,3,League of Legends,PC,24,I play for fun,improving,Male,18,Student at college / university,Bachelor (or equivalent),Spain,Spain
10314,Not difficult at all,1-25%,3,League of Legends,PC,20,I play for fun,having fun,Female,20,Student at college / university,High school diploma (or equivalent),Argentina,Sweden
10315,Somewhat difficult,26-50%,3,League of Legends,PC,23,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
10316,Not difficult at all,1-25%,1,World of Warcraft,PC,60,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),UK,UK
10317,Somewhat difficult,26-50%,2,League of Legends,PC,20,I play for fun,winning,Male,19,Student at school,High school diploma (or equivalent),Slovenia,Slovenia
10318,Extremely difficult,76-100%,4,League of Legends,PC,68,I earn a living by playing this game,winning,Male,22,Employed,"Ph.D., Psy. D., MD (or equivalent)",Finland,USA
10319,Somewhat difficult,26-50%,3,League of Legends,PC,6,I play for fun,having fun,Male,18,Student at school,None,USA,USA
10320,Very difficult,51-75%,3,League of Legends,PC,14,I play for fun,improving,Male,21,Student at college / university,Bachelor (or equivalent),China,USA
10321,NA,0,7,League of Legends,PC,20,I play for fun,improving,Male,26,Student at college / university,Master (or equivalent),France,France
10322,Somewhat difficult,26-50%,1,Other,PC,25,I play for fun,relaxing,Male,19,Student at college / university,High school diploma (or equivalent),UK,UK
10323,Not difficult at all,1-25%,4,League of Legends,PC,40,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Male,18,Student at school,None,Sweden,Sweden
10324,Not difficult at all,1-25%,2,League of Legends,PC,12,I play for fun,having fun,Male,38,Employed,High school diploma (or equivalent),Germany,Germany
10325,Not difficult at all,1-25%,4,League of Legends,PC,20,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Spain,Denmark
10326,Somewhat difficult,26-50%,4,League of Legends,PC,28,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Germany,China
10327,Somewhat difficult,26-50%,2,Other,PC,40,I play for fun,winning,Male,26,Employed,Bachelor (or equivalent),USA,USA
10328,Somewhat difficult,26-50%,6,League of Legends,PC,6,I play for fun,improving,Male,23,Employed,Bachelor (or equivalent),USA,USA
10329,Extremely difficult,76-100%,1,League of Legends,PC,20,I play for fun,improving,Male,23,Student at college / university,High school diploma (or equivalent),USA,USA
10330,Somewhat difficult,26-50%,2,League of Legends,PC,35,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Russia,Russia
10331,Not difficult at all,1-25%,6,League of Legends,PC,35,I play for fun,improving,Male,28,Unemployed / between jobs,Bachelor (or equivalent),Finland,Finland
10332,Not difficult at all,1-25%,2,League of Legends,PC,8,I play for fun,relaxing,Male,23,Employed,Bachelor (or equivalent),Netherlands,Netherlands
10333,Not difficult at all,1-25%,4,League of Legends,PC,6,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
10334,Somewhat difficult,26-50%,6,Hearthstone,PC,20,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,24,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
10335,Not difficult at all,1-25%,4,Other,PC,40,I play for fun,loot,Male,24,Unemployed / between jobs,High school diploma (or equivalent),Slovenia,Slovenia
10336,Somewhat difficult,26-50%,1,League of Legends,PC,10,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Latvia,Latvia
10337,NA,0,2,League of Legends,PC,30,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,20,Unemployed / between jobs,None,Lithuania,Lithuania
10338,Not difficult at all,1-25%,2,League of Legends,PC,25,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Colombia,Canada
10339,Extremely difficult,76-100%,1,League of Legends,PC,NA,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Male,18,Unemployed / between jobs,High school diploma (or equivalent),China,Canada
10340,Not difficult at all,1-25%,2,League of Legends,PC,10,I play for fun,having fun,Male,20,Employed,High school diploma (or equivalent),Australia,Singapore
10341,Not difficult at all,1-25%,3,League of Legends,PC,30,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,18,Student at school,High school diploma (or equivalent),USA,USA
10342,Very difficult,51-75%,5,League of Legends,PC,10,I play for fun,having fun,Male,25,Student at college / university,High school diploma (or equivalent),Argentina,Argentina
10343,Somewhat difficult,26-50%,2,League of Legends,PC,30,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Canada,Canada
10344,Somewhat difficult,26-50%,7,League of Legends,PC,16,I play for fun,having fun,Male,19,Student at school,High school diploma (or equivalent),Turkey,Turkey
10345,Extremely difficult,76-100%,1,League of Legends,PC,7,I play for fun,winning,Male,19,Unemployed / between jobs,None,USA,USA
10346,Somewhat difficult,26-50%,4,Other,PC,10,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Unknown,Unknown
10347,Somewhat difficult,26-50%,2,League of Legends,PC,20,I play for fun,winning,Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
10348,Not difficult at all,1-25%,1,Other,PC,28,long story short: im studying and cant find a job so im earning some illegal money on lol ~ 200 $ a month.,winning,Male,18,Student at school,None,Denmark,Denmark
10349,Somewhat difficult,26-50%,5,League of Legends,PC,5,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
10350,Extremely difficult,76-100%,1,League of Legends,PC,20,I play for fun,having fun,Male,23,Employed,High school diploma (or equivalent),USA,USA
10351,Not difficult at all,1-25%,1,League of Legends,PC,32,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),USA,USA
10352,Not difficult at all,1-25%,5,League of Legends,PC,10,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
10353,Very difficult,51-75%,3,League of Legends,PC,5,I play for fun,improving,Other,19,Employed,High school diploma (or equivalent),Denmark,Denmark
10354,Very difficult,51-75%,1,League of Legends,PC,40,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,20,Unemployed / between jobs,High school diploma (or equivalent),Germany,UK
10355,Not difficult at all,1-25%,3,League of Legends,PC,10,I play for fun,improving,Male,20,Student at college / university,Bachelor (or equivalent),Canada,Canada
10356,Not difficult at all,1-25%,5,League of Legends,PC,15,I play for fun,having fun,Male,18,Student at school,None,USA,USA
10357,Not difficult at all,1-25%,7,League of Legends,PC,10,I play for fun,having fun,Male,22,Student at college / university,Bachelor (or equivalent),USA,USA
10358,Somewhat difficult,26-50%,1,League of Legends,PC,35,I play for fun,winning,Male,22,Student at college / university,High school diploma (or equivalent),Portugal,Portugal
10359,Not difficult at all,1-25%,1,Starcraft 2,PC,10,I play for fun,having fun,Male,23,Unemployed / between jobs,Bachelor (or equivalent),Switzerland,Brazil
10360,Not difficult at all,1-25%,2,League of Legends,PC,25,I play for fun,winning,Female,25,Student at college / university,Bachelor (or equivalent),China,USA
10361,Not difficult at all,1-25%,4,Other,PC,40,I play for fun,improving,Male,19,Student at school,None,Estonia,Estonia
10362,Not difficult at all,1-25%,6,League of Legends,PC,4,I play for fun,winning,Male,27,Employed,Bachelor (or equivalent),USA,USA
10363,NA,0,4,League of Legends,PC,5,I play for fun,having fun,Female,19,Student at college / university,High school diploma (or equivalent),USA,USA
10364,Somewhat difficult,26-50%,5,Other,PC,14,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Brazil,Brazil
10365,Not difficult at all,1-25%,2,Other,PC,7,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Germany,Germany
10367,Somewhat difficult,26-50%,3,League of Legends,PC,15,I play for fun,improving,Male,18,Student at school,None,USA,USA
10368,Not difficult at all,1-25%,4,League of Legends,PC,45,I play for fun,improving,Male,21,Student at college / university,Bachelor (or equivalent),Greece,Greece
10369,Not difficult at all,1-25%,7,League of Legends,PC,30,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Germany,Germany
10370,Somewhat difficult,26-50%,2,League of Legends,PC,40,I play for fun,improving,Male,19,Employed,High school diploma (or equivalent),USA,USA
10372,Very difficult,51-75%,2,League of Legends,PC,7,I play for fun,having fun,Male,18,Student at school,None,Poland,Poland
10373,Very difficult,51-75%,3,League of Legends,PC,20,I play for fun,having fun,Male,22,Student at college / university,High school diploma (or equivalent),USA,USA
10374,NA,0,4,Other,PC,42,I play for fun,having fun,Male,33,Employed,High school diploma (or equivalent),USA,USA
10375,Not difficult at all,1-25%,7,League of Legends,PC,17,I play for fun,winning,Male,22,Student at college / university,High school diploma (or equivalent),Germany,Germany
10376,Not difficult at all,1-25%,2,Other,PC,18,I play for fun,having fun,Male,21,Student at college / university,Bachelor (or equivalent),USA,USA
10377,Somewhat difficult,26-50%,2,League of Legends,PC,20,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Netherlands,Netherlands
10378,Somewhat difficult,26-50%,5,League of Legends,PC,15,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Germany,Germany
10379,Not difficult at all,1-25%,1,League of Legends,PC,40,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
10380,Not difficult at all,1-25%,1,League of Legends,PC,35,I play for fun,improving,Male,23,Employed,Bachelor (or equivalent),UK,UK
10381,Somewhat difficult,26-50%,4,Other,PC,40,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),France,France
10382,Not difficult at all,1-25%,4,League of Legends,PC,34,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Male,18,Student at school,None,USA,USA
10383,Somewhat difficult,26-50%,1,League of Legends,PC,40,I play for fun,winning,Female,22,Unemployed / between jobs,High school diploma (or equivalent),UK,Sweden
10384,Somewhat difficult,26-50%,1,League of Legends,PC,30,I play for fun,having fun,Male,26,Unemployed / between jobs,High school diploma (or equivalent),Finland,Finland
10386,Somewhat difficult,26-50%,2,League of Legends,PC,16,I play for fun,relaxing,Male,20,Student at college / university,High school diploma (or equivalent),Netherlands,Netherlands
10387,Somewhat difficult,26-50%,4,League of Legends,PC,12,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
10388,Somewhat difficult,26-50%,2,League of Legends,PC,18,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,18,Student at school,None,USA,USA
10389,Somewhat difficult,26-50%,1,League of Legends,PC,32,I play for fun,both improving and having fun,Male,18,Student at school,None,Portugal,Portugal
10390,Extremely difficult,76-100%,1,League of Legends,PC,30,I play for fun,winning,Male,21,Student at college / university,High school diploma (or equivalent),USA,USA
10391,Very difficult,51-75%,1,League of Legends,PC,20,I play for fun,winning,Male,28,Unemployed / between jobs,Master (or equivalent),Poland,Poland
10392,Not difficult at all,1-25%,4,League of Legends,PC,25,I play for fun,improving,Male,21,Student at college / university,High school diploma (or equivalent),UK,UK
10393,Somewhat difficult,26-50%,6,League of Legends,PC,20,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Turkey,Turkey
10394,Somewhat difficult,26-50%,1,League of Legends,PC,20,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Latvia,Latvia
10395,Not difficult at all,1-25%,1,League of Legends,PC,21,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Unknown,Unknown
10396,Not difficult at all,1-25%,5,League of Legends,PC,10,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),UK,UK
10397,Somewhat difficult,26-50%,5,League of Legends,PC,12,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
10398,Extremely difficult,76-100%,1,League of Legends,PC,NA,I play for fun,having fun,Male,18,Unemployed / between jobs,High school diploma (or equivalent),Brazil,Brazil
10399,Very difficult,51-75%,3,League of Legends,PC,9,I play for fun,relaxing,Male,23,Employed,High school diploma (or equivalent),Canada,Canada
10400,NA,0,2,League of Legends,PC,20,I play for fun,winning,Female,27,Student at college / university,Bachelor (or equivalent),Norway,Norway
10401,Not difficult at all,1-25%,1,League of Legends,"Console (PS, Xbox, ...)",70,I play for fun,having fun,Male,20,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
10402,Not difficult at all,1-25%,2,Starcraft 2,PC,8,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Slovenia,Slovenia
10404,Not difficult at all,1-25%,3,League of Legends,PC,20,I play for fun,having fun,Male,26,Student at college / university,High school diploma (or equivalent),USA,USA
10405,Not difficult at all,1-25%,4,League of Legends,PC,20,I play for fun,having fun,Male,30,Employed,Bachelor (or equivalent),Vietnam,USA
10406,Somewhat difficult,26-50%,2,League of Legends,PC,10,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Germany,Germany
10407,Not difficult at all,1-25%,6,League of Legends,PC,15,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
10408,Somewhat difficult,26-50%,3,League of Legends,PC,20,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),UK,UK
10409,Not difficult at all,1-25%,3,League of Legends,PC,10,I play for fun,improving,Male,25,Employed,High school diploma (or equivalent),Germany,Germany
10410,Not difficult at all,1-25%,2,League of Legends,PC,40,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,18,Student at school,None,Canada,Canada
10411,Somewhat difficult,26-50%,2,League of Legends,PC,35,I play for fun,improving,Male,21,Student at college / university,Bachelor (or equivalent),France,France
10412,Not difficult at all,1-25%,3,League of Legends,PC,45,I play for fun,Depends on what I am playing.,Male,18,Student at school,None,Iceland,Iceland
10413,Somewhat difficult,26-50%,3,League of Legends,PC,5,I play for fun,improving,Male,22,Student at college / university,High school diploma (or equivalent),Iceland,Iceland
10414,Somewhat difficult,26-50%,2,League of Legends,PC,20,I play for fun,having fun,Female,21,Student at school,High school diploma (or equivalent),USA,Australia
10415,Not difficult at all,1-25%,5,League of Legends,PC,25,I play for fun,improving,Male,21,Student at school,High school diploma (or equivalent),Germany,Germany
10416,Somewhat difficult,26-50%,6,League of Legends,PC,10,I play for fun,having fun,Male,20,Student at college / university,Bachelor (or equivalent),France,France
10417,Somewhat difficult,26-50%,4,League of Legends,PC,30,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Sweden,Sweden
10418,Not difficult at all,1-25%,6,Skyrim,PC,18,I play for fun,having fun,Female,33,Employed,Master (or equivalent),Germany,Germany
10419,Not difficult at all,1-25%,2,League of Legends,PC,20,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Romania,UK
10420,Not difficult at all,1-25%,3,League of Legends,PC,10,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
10421,Very difficult,51-75%,3,League of Legends,PC,30,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),UK,UK
10422,NA,0,3,Heroes of the Storm,PC,25,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Germany,Germany
10423,Not difficult at all,1-25%,2,League of Legends,PC,28,I play for fun,winning,Male,27,Student at college / university,Bachelor (or equivalent),USA,USA
10424,Not difficult at all,1-25%,5,Other,PC,50,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Canada,Canada
10425,Not difficult at all,1-25%,7,League of Legends,PC,42,I play for fun,having fun,Male,22,Student at college / university,High school diploma (or equivalent),USA,USA
10426,Somewhat difficult,26-50%,3,League of Legends,PC,42,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Peru,Peru
10427,Not difficult at all,1-25%,2,League of Legends,PC,15,I play for fun,improving,Male,25,Employed,High school diploma (or equivalent),Australia,New Zealand 
10428,Somewhat difficult,26-50%,2,League of Legends,PC,9,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),UK,UK
10429,Somewhat difficult,26-50%,6,League of Legends,PC,30,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),Greece,Greece
10430,Not difficult at all,1-25%,5,League of Legends,PC,15,I play for fun,having fun,Male,23,Employed,High school diploma (or equivalent),Sweden,Sweden
10433,Not difficult at all,1-25%,4,League of Legends,PC,5,I play for fun,having fun,Male,22,Unemployed / between jobs,Bachelor (or equivalent),UK,UK
10434,Not difficult at all,1-25%,3,League of Legends,PC,10,I play for fun,having fun,Male,24,Student at college / university,Bachelor (or equivalent),Austria,Austria
10435,Not difficult at all,1-25%,5,League of Legends,PC,6,I play for fun,relaxing,Male,24,Employed,Bachelor (or equivalent),Portugal,Portugal
10436,Somewhat difficult,26-50%,1,League of Legends,PC,35,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Slovakia,Canada
10437,Not difficult at all,1-25%,6,League of Legends,PC,32,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
10438,Extremely difficult,76-100%,2,Counter Strike,PC,50,I play for fun,winning,Male,24,Student at college / university,Bachelor (or equivalent),USA,USA
10439,NA,0,6,League of Legends,PC,20,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Male,18,Student at school,High school diploma (or equivalent),Germany,Germany
10440,Very difficult,51-75%,5,League of Legends,PC,20,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Canada,Canada
10441,Not difficult at all,1-25%,6,League of Legends,PC,10,I play for fun,improving,Male,21,Student at college / university,Bachelor (or equivalent),USA,USA
10442,Not difficult at all,1-25%,3,League of Legends,PC,10,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
10443,Extremely difficult,76-100%,1,League of Legends,PC,15,I play for fun,having fun,Male,23,Unemployed / between jobs,Bachelor (or equivalent),USA,USA
10444,Somewhat difficult,26-50%,1,League of Legends,PC,20,Play purely competitively in the hopes of making money from it,winning,Male,21,Student at college / university,High school diploma (or equivalent),USA,USA
10445,Not difficult at all,1-25%,3,League of Legends,PC,30,I play for fun,improving,Male,18,Student at school,None,USA,USA
10446,Not difficult at all,1-25%,2,League of Legends,PC,20,I play for fun,having fun,Male,18,Student at school,None,Norway,Norway
10447,Not difficult at all,1-25%,2,League of Legends,PC,20,I play for fun,having fun,Male,21,Student at college / university,Bachelor (or equivalent),New Zealand,New Zealand 
10448,Not difficult at all,1-25%,2,World of Warcraft,PC,30,I play for fun,improving,Male,18,Unemployed / between jobs,None,Australia,Australia
10449,Very difficult,51-75%,2,League of Legends,PC,48,I play for fun,winning,Male,25,Employed,Bachelor (or equivalent),UK,UK
10451,Not difficult at all,1-25%,2,League of Legends,PC,30,I play for fun,improving,Male,18,Student at school,None,Denmark,Denmark
10453,Not difficult at all,1-25%,6,League of Legends,PC,20,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,18,Student at school,High school diploma (or equivalent),Netherlands,Netherlands
10454,Somewhat difficult,26-50%,7,League of Legends,PC,35,I play for fun,improving,Male,24,Employed,Bachelor (or equivalent),Russia,Israel
10455,Not difficult at all,1-25%,7,League of Legends,PC,45,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Bulgaria,Spain
10456,Somewhat difficult,26-50%,5,Counter Strike,PC,23,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),Germany,Germany
10457,Not difficult at all,1-25%,6,League of Legends,PC,20,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Brazil,Brazil
10458,NA,0,6,League of Legends,PC,14,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),USA,Canada
10459,Not difficult at all,1-25%,3,Diablo 3,PC,35,I play for fun,relaxing,Male,23,Employed,Bachelor (or equivalent),Germany,Germany
10460,Extremely difficult,76-100%,1,League of Legends,PC,56,I play for fun,having fun,Male,18,Student at school,None,USA,USA
10461,Not difficult at all,1-25%,4,Other,PC,14,I play for fun,winning,Male,23,Employed,High school diploma (or equivalent),USA,USA
10462,Not difficult at all,1-25%,6,League of Legends,PC,10,I play for fun,improving,Male,25,Student at college / university,Bachelor (or equivalent),UK,UK
10463,Somewhat difficult,26-50%,3,League of Legends,PC,30,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),France,France
10465,Somewhat difficult,26-50%,4,League of Legends,PC,18,I play for fun,improving,Male,24,Student at college / university,High school diploma (or equivalent),Italy,Italy
10466,Somewhat difficult,26-50%,3,League of Legends,PC,25,I play for fun,improving,Male,18,Student at school,None,USA,USA
10467,Somewhat difficult,26-50%,1,League of Legends,PC,21,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Canada,Canada
10468,Not difficult at all,1-25%,6,League of Legends,PC,25,I play for fun,having fun,Male,20,Employed,Bachelor (or equivalent),France,France
10470,Very difficult,51-75%,3,League of Legends,PC,24,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
10471,Not difficult at all,1-25%,3,League of Legends,PC,3,I play for fun,improving,Male,21,Student at college / university,High school diploma (or equivalent),Puerto Rico ,Puerto Rico
10472,Very difficult,51-75%,1,League of Legends,PC,7,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),India,India
10474,Very difficult,51-75%,1,League of Legends,PC,20,I play for fun,winning,Male,22,Unemployed / between jobs,Bachelor (or equivalent),UK,UK
10475,Somewhat difficult,26-50%,2,League of Legends,PC,11,I play for fun,having fun,Male,18,Student at school,None,Hungary,Hungary
10476,Not difficult at all,1-25%,3,Starcraft 2,PC,12,I play for fun,improving,Male,26,Employed,Bachelor (or equivalent),USA,USA
10479,Not difficult at all,1-25%,5,League of Legends,PC,15,I play for fun,improving,Male,18,Student at school,Bachelor (or equivalent),UK,UK
10480,Somewhat difficult,26-50%,1,League of Legends,PC,24,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),Spain,UK
10481,Somewhat difficult,26-50%,6,League of Legends,PC,6,I play for fun,winning,Male,18,Student at college / university,None,USA,USA
10482,NA,0,4,League of Legends,PC,1,I play for fun,winning,Male,20,Student at college / university,Bachelor (or equivalent),Portugal,Portugal
10483,Not difficult at all,1-25%,4,League of Legends,PC,20,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Germany,Germany
10484,Not difficult at all,1-25%,5,League of Legends,PC,20,I play for fun,having fun,Male,20,Employed,High school diploma (or equivalent),Canada,Canada
10485,Somewhat difficult,26-50%,1,League of Legends,PC,8,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Male,20,Unemployed / between jobs,High school diploma (or equivalent),Bulgaria,Bulgaria
10486,Somewhat difficult,26-50%,2,League of Legends,PC,40,I play for fun,"I wish it was having fun, but unfortunately its winning",Male,21,Student at college / university,Bachelor (or equivalent),Unknown,Poland
10488,Somewhat difficult,26-50%,5,World of Warcraft,PC,40,I play for fun but attempt to make it my living. So far I also need a part time job to fully pay all living cost and have a small savings incase shit happens. ,improving,Male,23,Employed,Bachelor (or equivalent),USA,USA
10489,Somewhat difficult,26-50%,1,League of Legends,PC,8,I play for fun,having fun,Male,22,Employed,High school diploma (or equivalent),Belgium,Belgium
10490,Somewhat difficult,26-50%,2,League of Legends,PC,14,i try,relaxing,Male,18,Student at college / university,High school diploma (or equivalent),Canada,Canada
10491,Not difficult at all,1-25%,7,League of Legends,PC,12,I play for fun,improving,Male,18,Student at school,None,South Korea,USA
10493,Not difficult at all,1-25%,1,League of Legends,PC,15,I play for fun,winning,Female,19,Student at college / university,High school diploma (or equivalent),Denmark,Faroe Islands
10494,Somewhat difficult,26-50%,2,League of Legends,PC,14,i try,relaxing,Male,18,Student at college / university,High school diploma (or equivalent),Canada,Canada
10495,Not difficult at all,1-25%,1,League of Legends,PC,25,I play for fun,improving,Male,28,Employed,None,Iceland,Iceland
10496,Somewhat difficult,26-50%,1,League of Legends,PC,8,I play for fun,winning,Male,18,Student at school,High school diploma (or equivalent),Romania,Romania
10497,Somewhat difficult,26-50%,2,League of Legends,PC,16,I play for fun,relaxing,Male,21,Student at school,High school diploma (or equivalent),Argentina,Argentina
10498,Somewhat difficult,26-50%,5,League of Legends,PC,28,I play for fun,having fun,Female,19,Student at college / university,High school diploma (or equivalent),Germany,Germany
10499,Somewhat difficult,26-50%,4,League of Legends,PC,10,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),USA,USA
10500,Not difficult at all,1-25%,7,League of Legends,PC,12,I play for fun,winning,Male,27,Employed,Bachelor (or equivalent),South Korea,USA
10501,Somewhat difficult,26-50%,1,Guild Wars 2,PC,13,I play for fun,relaxing,Male,18,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
10502,Not difficult at all,1-25%,7,League of Legends,PC,3,I play for fun,improving,Male,24,Student at college / university,Bachelor (or equivalent),Brazil,Brazil
10503,Not difficult at all,1-25%,6,League of Legends,PC,30,I play for fun,having fun,Male,23,Employed,High school diploma (or equivalent),Germany,Germany
10504,Not difficult at all,1-25%,2,League of Legends,PC,20,I play for fun,having fun,Male,29,Unemployed / between jobs,Bachelor (or equivalent),Sweden,Sweden
10505,Not difficult at all,1-25%,2,League of Legends,PC,18,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Belgium,Belgium
10506,Somewhat difficult,26-50%,2,League of Legends,PC,100,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,21,Student at college / university,Bachelor (or equivalent),Germany,Germany
10507,Somewhat difficult,26-50%,6,League of Legends,PC,8,I play for fun,relaxing,Male,21,Student at college / university,Bachelor (or equivalent),Netherlands,Netherlands
10508,Very difficult,51-75%,2,League of Legends,PC,16,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,18,Student at college / university,High school diploma (or equivalent),UK,UK
10509,Very difficult,51-75%,2,League of Legends,PC,14,I play for fun,relaxing and having fun,Male,18,Student at college / university,High school diploma (or equivalent),Canada,Canada
10510,Not difficult at all,1-25%,6,League of Legends,PC,10,I play for fun,having fun,Male,23,Employed,Bachelor (or equivalent),Mexico,Mexico
10511,Somewhat difficult,26-50%,1,Counter Strike,PC,15,I play for fun,improving,Male,19,Unemployed / between jobs,High school diploma (or equivalent),Netherlands,Netherlands
10512,Somewhat difficult,26-50%,2,Other,PC,10,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Male,28,Student at college / university,High school diploma (or equivalent),USA,USA
10513,Not difficult at all,1-25%,3,League of Legends,PC,30,I play for fun,improving,Male,25,Employed,High school diploma (or equivalent),USA,USA
10514,Somewhat difficult,26-50%,3,Other,"Console (PS, Xbox, ...)",5,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Sweden,Sweden
10515,Extremely difficult,76-100%,2,League of Legends,PC,10,I play for fun,having fun,Male,19,Student at school,High school diploma (or equivalent),Germany,Germany
10516,Not difficult at all,1-25%,2,League of Legends,PC,10,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Austria,Unknown
